CustomerID,FirstName,LastName,DOB,Email,Phone,CreatedDate
CUST001,Arjun,Sharma,1985-06-12,arjun.sharma@example.com,9876543210,2024-01-15 10:25:30
CUST002,Divya,Patel,1990-03-25,divya.patel@example.com,8765432109,2024-02-12 09:15:45
CUST003,Rahul,Kumar,1988-11-05,rahul.kumar@example.com,7654321098,2024-01-20 14:40:12
CUST004,Sneha,Rao,1992-07-18,sneha.rao@example.com,6543210987,2024-03-05 11:22:55
CUST005,Manoj,Verma,1980-12-30,manoj.verma@example.com,5432109876,2024-02-28 08:50:33
CUST006,Anita,Singh,1987-05-12,anita.singh@example.com,4321098765,2024-03-15 15:05:20
CUST007,Karan,Mehta,1991-09-23,karan.mehta@example.com,3210987654,2024-01-30 13:10:10
CUST008,Pooja,Nair,1983-02-17,pooja.nair@example.com,2109876543,2024-02-05 16:45:50
CUST009,Vikram,Joshi,1989-08-14,vikram.joshi@example.com,1098765432,2024-03-10 09:55:00
CUST010,Rekha,Desai,1995-11-29,rekha.desai@example.com,9988776655,2024-03-12 12:30:25
